preproc,use_mixup,factor,pc,r2_baseline_mean,r2_aug_mean,delta_r2_mean,delta_r2_std,n,p_aug_frac_lt_0_05
paper_full,0,Gender,PC5,0.11915317002779875,0.11939067925246735,0.00023750922466855666,0.0033271709291494184,5,0.0
paper_full,0,Anamnes_factor,PC8,0.1870255080344595,0.1872558405178849,0.00023033248342537994,0.0007823173911941122,5,0.0
paper_low,0,Parodont,PC3,0.3790764241580825,0.37930635667357004,0.00022993251548756,0.0006687727248123505,5,0.0
paper_full,0,caries_factor,PC9,0.0013167269891739002,0.00151944822574146,0.00020272123656753688,0.00023081464850580958,5,0.0
amide3,0,Parodont,PC1,0.1263672741477574,0.12652804213755164,0.000160767989794263,0.0001657437396984762,5,0.0
paper_low,0,Gender,PC4,0.0223581868010352,0.022510440074403122,0.00015225327336786004,0.0007995619732747579,5,0.0
paper_full,0,Parodont,PC4,0.13129485812145758,0.1314299807343609,0.00013512261290334206,0.00031218368102534343,5,0.0
paper_full,0,Anamnes_factor,PC7,0.01103962839741022,0.01113779681645286,9.816841904263128e-05,0.00015358231899823953,5,0.0
paper_full,0,Anamnes_factor,PC3,0.2586701950638048,0.2587607872541168,9.05921903118857e-05,0.0013530118917600793,5,0.0
paper_full,0,Age_factor,PC7,0.00088983871892534,0.00096785132421076,7.80126052854112e-05,7.673344107720156e-05,5,0.0
paper_full,0,Anamnes_factor,PC1,0.5389846596635561,0.5390433749414612,5.8715277905064395e-05,0.00023822481282379635,5,1.0
paper_low,0,Age_factor,PC6,0.0097409683930306,0.00979028540243982,4.931700940926421e-05,0.0005740220660700836,5,0.0
paper_full,0,caries_factor,PC2,0.19493592004540589,0.19498514102163486,4.9220976228931975e-05,0.00012407091570701924,5,0.0
paper_low,0,caries_factor,PC3,0.1812556753453628,0.18130192969799502,4.6254352632215896e-05,0.00045659479723402765,5,0.0
paper_low,0,Anamnes_factor,PC5,0.0669739605479449,0.06701990491075334,4.594436280848011e-05,0.004170448824315341,5,0.0
paper_full,0,Gender,PC8,0.0038341874343512396,0.0038747963801251,4.0608945773840003e-05,0.000512301167759394,5,0.0
amide3,0,Age_factor,PC1,0.0103081827986748,0.01034848684378776,4.030404511296e-05,0.0004158646911780608,5,0.0
paper_low,0,caries_factor,PC2,0.0852183154204944,0.08525854836105548,4.023294056110238e-05,3.9362450282932584e-05,5,0.0
paper_full,0,caries_factor,PC3,0.0653586020608816,0.06539881506307912,4.021300219751061e-05,0.0002388874583236503,5,0.0
paper_low,0,Gender,PC3,0.0217328268173132,0.02176627283018728,3.344601287410834e-05,0.0003487948556310733,5,0.0
paper_low,0,Age_factor,PC3,0.070557137528878,0.07058867176489464,3.153423601664003e-05,0.001172714121665213,5,0.0
paper_full,0,Gender,PC1,0.011562961812864639,0.011590556228639939,2.759441577531163e-05,4.749188688606015e-05,5,0.0
paper_low,0,Parodont,PC2,0.106430422644083,0.10645600107396473,2.5578429881711884e-05,5.8092481356053106e-05,5,0.0
paper_full,0,Parodont,PC8,0.04308583644938276,0.04311009217582342,2.4255726440652316e-05,0.0005169351009902287,5,0.0
paper_low,0,Age_factor,PC1,0.0564684835646162,0.056483730158106836,1.5246593490680916e-05,5.1889177273859394e-05,5,0.0
paper_low,0,caries_factor,PC6,0.0019295640366651001,0.0019447757470721,1.521171040702998e-05,0.00033889328594291745,5,0.0
paper_low,0,Age_factor,PC5,0.0021289279386347,0.00214379627713642,1.486833850173922e-05,0.00015099294602373542,5,0.0
amide3,0,Gender,PC1,0.0001287143809505,0.00014188048835255164,1.3166107402051708e-05,5.6530547942190044e-05,5,0.0
paper_low,0,Gender,PC1,0.019268496371385,0.01928060553337784,1.2109161992834849e-05,3.870830618065206e-05,5,0.0
paper_low,0,Age_factor,PC7,0.0012887615391594,0.0013003329785043001,1.1571439344868303e-05,0.00024471946046706786,5,0.0
paper_full,0,Age_factor,PC2,0.0011307833248158001,0.001137946597317,7.1632725011872025e-06,1.411096843891686e-05,5,0.0
paper_full,0,Age_factor,PC1,0.050971207012168986,0.05097702183192254,5.814819753546807e-06,5.0870159122413365e-05,5,0.0
paper_full,0,Gender,PC3,0.0055416809896485205,0.00554500154741112,3.320557762594311e-06,9.801996621192134e-05,5,0.0
paper_full,0,Age_factor,PC3,0.00059431588775402,0.0005971408398381,2.8249520841017167e-06,1.9084176540090298e-05,5,0.0
paper_full,0,Parodont,PC1,0.06990319828432168,0.06989838696012508,-4.811324196639833e-06,9.087519619873956e-05,5,0.0
paper_low,0,Anamnes_factor,PC1,0.5480970417312716,0.5480909922539638,-6.0494773077281275e-06,7.629895929824915e-05,5,1.0
paper_low,0,caries_factor,PC1,0.0403979387641731,0.04038798860306078,-9.950161112359801e-06,3.3277898860828746e-05,5,0.0
paper_low,0,Parodont,PC1,0.057914876055789,0.0578960684235186,-1.880763227040116e-05,7.267277945198082e-05,5,0.0
paper_full,0,Parodont,PC2,0.03422798468233772,0.03420760836222676,-2.0376320110981894e-05,5.305884574651764e-05,5,0.0
paper_full,0,Gender,PC2,0.14189852057928828,0.14187398178796198,-2.4538791326325723e-05,0.00010512483647490217,5,0.0
paper_full,0,caries_factor,PC1,0.047318454848664385,0.04729013335747602,-2.832149118834337e-05,4.6705563371829636e-05,5,0.0
paper_low,0,Anamnes_factor,PC2,0.0656600449568162,0.06562999598692236,-3.0048969893768412e-05,8.887137539324044e-05,5,0.0
paper_full,0,Gender,PC4,0.00667711125066352,0.00664388080513602,-3.32304455275162e-05,0.00019484315715181247,5,0.0
paper_low,0,Gender,PC2,0.06156096266825349,0.0615233515645605,-3.761110369294581e-05,5.9244282997009735e-05,5,0.0
paper_low,0,caries_factor,PC5,0.0062515890689085005,0.0062130388994619205,-3.855016944660002e-05,0.0012837315358645409,5,0.0
paper_low,0,Age_factor,PC2,0.0621834483873686,0.06214375219886246,-3.969618850615162e-05,7.767343097018631e-05,5,0.0
paper_low,0,Age_factor,PC4,0.0365790772328212,0.03653764869531584,-4.1428537505423976e-05,0.0007773116071029896,5,0.0
paper_full,0,Age_factor,PC8,0.00138319663143132,0.00133976811342672,-4.3428518004577266e-05,0.00016152029471502857,5,0.0
amide3,0,Gender,PC2,0.0452705189119923,0.045217755289941666,-5.276362205058413e-05,7.425416510224097e-05,5,0.0
paper_low,0,Anamnes_factor,PC4,0.0509547369984112,0.050897879562986505,-5.685743542468255e-05,0.0016050482684338882,5,0.0
paper_low,0,Gender,PC8,0.0013500783694259,0.0012834349197937398,-6.664344963210004e-05,0.0010232572077471188,5,0.0
amide3,0,Age_factor,PC2,0.0214712432078235,0.02138242371964236,-8.881948818111999e-05,0.0002670603734090059,5,0.0
paper_full,0,Anamnes_factor,PC2,0.0359005304675872,0.0358067813142822,-9.374915330497057e-05,0.0001795572216180811,5,0.0
paper_low,0,Parodont,PC6,0.1020541915841194,0.10193356566340361,-0.00012062592071577919,0.0010213651340570684,5,0.0
paper_full,0,Parodont,PC3,0.7433633788997249,0.7432330348453762,-0.00013034405434872,0.0005382935983054187,5,0.0
paper_low,0,Gender,PC7,0.1255033274997996,0.1253681176190074,-0.00013520988079224005,0.0026003676024742416,5,0.0
paper_full,0,caries_factor,PC4,0.25890146804033487,0.2587581463840704,-0.00014332165626441024,0.0005362809518446875,5,0.0
paper_low,0,Gender,PC5,0.0457879920322927,0.04564284824768306,-0.0001451437846096999,0.0030166576325810603,5,0.0
paper_low,0,Parodont,PC5,0.0284510406207689,0.02829145737263254,-0.0001595832481363887,0.001126586243712199,5,0.0
paper_low,0,Gender,PC6,0.0433516484895107,0.04317550083933868,-0.00017614765017205997,0.0011344551645083604,5,0.0
paper_full,0,Anamnes_factor,PC4,0.2364209330258281,0.23623480220607984,-0.00018613081974827892,0.0004195087524213986,5,0.0
paper_full,0,Gender,PC7,0.03709648547625468,0.03688284397731356,-0.00021364149894108922,0.0003853375303731314,5,0.0
paper_full,0,Age_factor,PC4,0.1982841109896239,0.19804865524033863,-0.00023545574928526478,0.0012477152885200322,5,0.0
amide3,0,Parodont,PC2,0.161728693044735,0.16148779678330905,-0.00024089626142594,0.0012928551017352312,5,0.0
amide3,0,caries_factor,PC3,0.0211175902591775,0.02087002932646918,-0.00024756093270832,0.00034131321680994103,5,0.0
