outer_fold,model,noise_std,noise_med,shift,mixup,p_apply,score,qc_auc,mmd2,knn_overlap,skipped
1,svm_rbf,0.01,0.0,2.0,0.6,0.5,,0.7704124974089359,0.0034682423265437468,0.9323308270676691,True
1,svm_rbf,0.01,0.0,4.0,0.0,0.5,,0.9228480976878286,0.0036932640865738886,0.8518796992481203,True
1,svm_rbf,0.01,0.0,4.0,0.2,0.5,,0.7807537641095219,0.0037206607095454647,0.8786967418546366,True
1,svm_rbf,0.01,0.0,4.0,0.4,0.5,,0.7825043812538865,0.003581929976517406,0.8596491228070176,True
1,svm_rbf,0.01,0.0,4.0,0.6,0.5,,0.7819680780899617,0.003651407411844554,0.8541353383458646,True
1,svm_rbf,0.02,0.0,0.0,0.0,0.5,,0.9950115891231838,2.2543093681992588e-05,1.0,True
1,svm_rbf,0.02,0.0,0.0,0.2,0.5,,0.7589631974673525,0.00147614688261144,0.9796992481203007,True
1,svm_rbf,0.02,0.0,0.0,0.4,0.5,,0.7663372717508055,0.0012410593657261604,0.9571428571428572,True
1,svm_rbf,0.02,0.0,0.0,0.6,0.5,,0.7536615976030301,0.00102588019294525,0.9315789473684211,True
1,svm_rbf,0.02,0.0,1.0,0.0,0.5,,0.9026332749166148,0.0035092634101347997,1.0,True
1,svm_rbf,0.02,0.0,1.0,0.2,0.5,,0.774612471027192,0.0035033747579038543,0.9764411027568922,True
1,svm_rbf,0.02,0.0,1.0,0.4,0.5,,0.7677494488099948,0.003535289240547357,0.9609022556390977,True
1,svm_rbf,0.02,0.0,1.0,0.6,0.5,,0.7826543803116814,0.0035855292785380577,0.9543859649122807,True
1,svm_rbf,0.02,0.0,2.0,0.0,0.5,,0.9383108146305614,0.003402165314698058,0.9759398496240601,True
1,svm_rbf,0.02,0.0,2.0,0.2,0.5,,0.7939254150413628,0.003522327944865733,0.9654135338345865,True
1,svm_rbf,0.02,0.0,2.0,0.4,0.5,,0.8017954661088813,0.003498791762227782,0.9408521303258145,True
1,svm_rbf,0.02,0.0,2.0,0.6,0.5,,0.80110351065634,0.0035069861467158514,0.9348370927318296,True
1,svm_rbf,0.02,0.0,4.0,0.0,0.5,,0.9633286223076489,0.003710536559266231,0.8609022556390977,True
1,svm_rbf,0.02,0.0,4.0,0.2,0.5,,0.8127480355022896,0.003541109363355055,0.8807017543859649,True
1,svm_rbf,0.02,0.0,4.0,0.4,0.5,,0.8232867883995703,0.004014103025141713,0.8681704260651629,True
1,svm_rbf,0.02,0.0,4.0,0.6,0.5,,0.812583338044359,0.0037615130747892245,0.8636591478696742,True
1,rf,0.0,0.0,0.0,0.0,0.5,0.8782262825689946,,,,False
1,rf,0.0,0.0,0.0,0.2,0.5,0.8896251012980464,,,,False
1,rf,0.0,0.0,0.0,0.4,0.5,0.879529958269086,,,,False
1,rf,0.0,0.0,0.0,0.6,0.5,0.8821847703913804,,,,False
1,rf,0.0,0.0,1.0,0.0,0.5,,0.8783424727231612,2.2525994188615783e-05,1.0,True
1,rf,0.0,0.0,1.0,0.2,0.5,,0.7016931426310137,0.0018787169925280622,0.9593984962406015,True
1,rf,0.0,0.0,1.0,0.4,0.5,,0.7008095426536266,0.0013677760954506901,0.9428571428571428,True
1,rf,0.0,0.0,1.0,0.6,0.5,,0.69883317315846,0.0014228498748414253,0.9353383458646617,True
1,rf,0.0,0.0,2.0,0.0,0.5,,0.9436259822488552,0.0003074553918605005,0.9488721804511279,True
1,rf,0.0,0.0,2.0,0.2,0.5,,0.7383741308157612,0.0026607411310435314,0.9406015037593985,True
1,rf,0.0,0.0,2.0,0.4,0.5,,0.728816778789078,0.0009898585670513604,0.9180451127819549,True
1,rf,0.0,0.0,2.0,0.6,0.5,,0.7346379105658883,0.0028452989512126603,0.9067669172932331,True
1,rf,0.0,0.0,4.0,0.0,0.5,,0.9666210639380405,0.002194000600484358,0.7082706766917293,True
1,rf,0.0,0.0,4.0,0.2,0.5,,0.7580383289049692,0.001659115072567996,0.8142857142857143,True
1,rf,0.0,0.0,4.0,0.4,0.5,,0.7500537056928034,0.002440595467658957,0.8052631578947368,True
1,rf,0.0,0.0,4.0,0.6,0.5,,0.7441918706540788,0.002437605738289106,0.7849624060150376,True
1,rf,0.0,0.005,0.0,0.0,0.5,,0.7562213805189667,6.989892886721805e-08,1.0,True
1,rf,0.0,0.005,0.0,0.2,0.5,0.8891871866129174,,,,False
1,rf,0.0,0.005,0.0,0.4,0.5,0.8882404277990862,,,,False
1,rf,0.0,0.005,0.0,0.6,0.5,0.8944722994434527,,,,False
1,rf,0.0,0.005,1.0,0.0,0.5,,0.7145661145344564,0.0035332625716297805,1.0,True
1,rf,0.0,0.005,1.0,0.2,0.5,,0.6452654191870654,0.003543357459979024,0.9804511278195489,True
1,rf,0.0,0.005,1.0,0.4,0.5,,0.6449424312661353,0.003441898301552504,0.962907268170426,True
1,rf,0.0,0.005,1.0,0.6,0.5,,0.6462720711553319,0.0034875661798356994,0.9513784461152882,True
